purchase_day,channel,attributed_revenue
2025-02-23,paid_search,4848.0
2025-02-23,paid_social,245.0
2025-02-23,unknown_paid,4928.0
2025-02-23,,10387.0
2025-02-24,paid_search,4795.0
2025-02-24,unknown_paid,3226.6
2025-02-24,,17436.0
2025-02-25,paid_search,8414.0
2025-02-25,unknown_paid,1468.0
2025-02-25,,3661.0
2025-02-26,organic_search,2299.0
2025-02-26,paid_search,1898.0
2025-02-26,unknown_paid,2258.0
2025-02-26,,7451.0
2025-02-27,organic_search,511.0
2025-02-27,paid_search,4702.0
2025-02-27,unknown_paid,1884.0
2025-02-27,,6903.0
2025-02-28,organic_search,245.0
2025-02-28,paid_search,2575.0
2025-02-28,unknown_paid,3618.0
2025-02-28,,12231.0
2025-03-01,organic_search,3747.0
2025-03-01,paid_search,5343.0
2025-03-01,unknown_paid,7273.0
2025-03-01,,13227.0
2025-03-02,organic_search,3799.0
2025-03-02,paid_search,12272.0
2025-03-02,unknown_paid,4474.0
2025-03-02,,7676.0
2025-03-03,paid_search,9870.0
2025-03-03,unknown_paid,6018.8
2025-03-03,,4616.0
2025-03-04,paid_search,2856.0
2025-03-04,unknown_paid,929.0
2025-03-04,,8630.0
2025-03-05,organic_search,204.0
2025-03-05,paid_search,8596.0
2025-03-05,unknown_paid,863.0
2025-03-05,,11051.0
2025-03-06,paid_search,9936.0
2025-03-06,unknown_paid,1549.0
2025-03-06,,10269.0
2025-03-07,paid_search,3805.0
2025-03-07,unknown_paid,2197.0
2025-03-07,,12329.0
2025-03-08,paid_search,4195.0
2025-03-08,unknown_paid,5502.0
2025-03-08,,11589.0
