day,sessions,purchases,revenue,purchase_rate,direct_session_share,direct_revenue_share
2025-02-23,3393,21,20408.0,0.00618921308576481,0.0,0.0
2025-02-24,3126,25,25457.6,0.00799744081893794,0.0,0.0
2025-02-25,2853,15,13543.0,0.005257623554153523,0.0,0.0
2025-02-26,2585,13,13906.0,0.005029013539651838,0.0,0.0
2025-02-27,2821,18,14000.0,0.006380716058135413,0.0,0.0
2025-02-28,2593,18,18669.0,0.006941766293868106,0.0,0.0
2025-03-01,2818,27,29590.0,0.00958126330731015,0.0,0.0
2025-03-02,3302,22,28221.0,0.006662628709872804,0.0,0.0
2025-03-03,3195,22,20504.8,0.006885758998435055,0.0,0.0
2025-03-04,2984,18,12415.0,0.006032171581769437,0.0,0.0
2025-03-05,2377,20,20714.0,0.008413967185527976,0.0,0.0
2025-03-06,2702,21,21754.0,0.007772020725388601,0.0,0.0
2025-03-07,2467,16,18331.0,0.0064856100526955816,0.0,0.0
2025-03-08,2917,20,21286.0,0.006856359273225917,0.0,0.0
